Id_заявки,Наименование,Дата,Тип_работы,Статус
1,Устранение шумов и вибраций,1994-06-28,4,1
2,Обновление системы освещения и сигнализации,1990-08-12,5,1
3,Устранение шумов и вибраций,1988-06-29,1,1
4,Реставрация кузова и покраска,1994-06-10,5,2
5,Диагностика и ремонт системы вывода отработавших газов,1976-02-27,2,3
6,Регулировка подвески и рулевого управления,1992-01-04,3,2
7,Замена передач и дифференциалов,1996-10-12,1,3
8,Замена передач и дифференциалов,2002-12-03,3,2
9,Диагностика и ремонт системы вывода отработавших газов,2013-05-24,5,3
10,Диагностика и ремонт двигателя,1978-09-19,3,3
11,Шиномонтаж и балансировка колес,1979-11-15,3,3
12,Замена передач и дифференциалов,2010-04-16,2,1
13,Обслуживание и ремонт системы кондиционирования,1996-06-04,2,3
14,Шиномонтаж и балансировка колес,1983-08-13,5,1
15,Тюнинг и модификация автомобиля,2008-08-16,5,2
